zip,primary_city,state,county,timezone,latitude,longitude
52241,Coralville,IA,Johnson County,America/Chicago,41.69,-91.6
11105,Astoria,NY,Queens County,America/New_York,40.78,-73.91
71049,Logansport,LA,De Soto Parish,America/Chicago,31.97,-93.99
75032,Rockwall,TX,Rockwall County,America/Chicago,32.92,-96.45
43832,Newcomerstown,OH,Tuscarawas County,America/New_York,40.27,-81.59
75001,Addison,TX,Dallas County,America/Chicago,32.96,-96.83
27605,Raleigh,NC,Wake County,America/New_York,35.82,-78.65
60018,Des Plaines,IL,Cook County,America/Chicago,42.03,-87.9
32789,Winter Park,FL,Orange County,America/New_York,28.59,-81.34
90232,Culver City,CA,Los Angeles County,America/Los_Angeles,34.02,-118.39
14850,Ithaca,NY,Tompkins County,America/New_York,42.44,-76.5
89103,Las Vegas,NV,Clark County,America/Los_Angeles,36.11,-115.21
45415,Dayton,OH,Montgomery County,America/New_York,39.77,-84.19
60542,North Aurora,IL,Kane County,America/Chicago,41.8,-88.33
20121,Centreville,VA,Fairfax County,America/New_York,38.84,-77.44
60532,Lisle,IL,Dupage County,America/Chicago,41.79,-88.08
66502,Manhattan,KS,Riley County,America/Chicago,39.19,-96.59
37208,Nashville,TN,Davidson County,America/Chicago,36.17,-86.78
20815,Chevy Chase,MD,Montgomery County,America/New_York,38.98,-77.08
72201,Little Rock,AR,Pulaski County,America/Chicago,34.72,-92.35
31047,Kathleen,GA,Houston County,America/New_York,32.45,-83.58
30024,Suwanee,GA,Gwinnett County,America/New_York,34.05,-84.07
75068,Little Elm,TX,Denton County,America/Chicago,33.16,-96.93
72118,North Little Rock,AR,Pulaski County,America/Chicago,34.78,-92.25
94539,Fremont,CA,Alameda County,America/Los_Angeles,37.51,-121.89
78701,Austin,TX,Travis County,America/Chicago,30.26,-97.74
89145,Las Vegas,NV,Clark County,America/Los_Angeles,36.16,-115.28
91770,Rosemead,CA,Los Angeles County,America/Los_Angeles,34.06,-118.08
29033,Cayce,SC,Lexington County,America/New_York,33.95,-81.06
75208,Dallas,TX,Dallas County,America/Chicago,32.79,-96.76
43123,Grove City,OH,Franklin County,America/New_York,39.87,-83.07
46168,Plainfield,IN,Hendricks County,America/Indiana/Indianapolis,39.7,-86.38
46241,Indianapolis,IN,Marion County,America/Indiana/Indianapolis,39.77,-86.14
14445,East Rochester,NY,Monroe County,America/New_York,43.11,-77.48
93001,Ventura,CA,Ventura County,America/Los_Angeles,34.33,-119.31
90255,Huntington Park,CA,Los Angeles County,America/Los_Angeles,33.97,-118.21
36830,Auburn,AL,Lee County,America/Chicago,32.59,-85.48
13057,East Syracuse,NY,Onondaga County,America/New_York,43.06,-76.07
33261,Miami,FL,Miami-Dade County,America/New_York,25.77,-80.2
33566,Plant City,FL,Hillsborough County,America/New_York,28,-82.12
90040,Los Angeles,CA,Los Angeles County,America/Los_Angeles,33.99,-118.14
15215,Pittsburgh,PA,Allegheny County,America/New_York,40.43,-79.97
37209,Nashville,TN,Davidson County,America/Chicago,36.17,-86.78
52654,Wayland,IA,Henry County,America/Chicago,41.14,-91.65
78209,San Antonio,TX,Bexar County,America/Chicago,29.45,-98.5
85260,Scottsdale,AZ,Maricopa County,America/Phoenix,33.61,-111.89
70507,Lafayette,LA,Lafayette Parish,America/Chicago,30.21,-92.02
78213,San Antonio,TX,Bexar County,America/Chicago,29.45,-98.5
84111,Salt Lake City,UT,Salt Lake County,America/Denver,40.75,-111.88
30084,Tucker,GA,Dekalb County,America/New_York,33.85,-84.22
10469,Bronx,NY,Bronx County,America/New_York,40.84,-73.87
45056,Oxford,OH,Butler County,America/New_York,39.5,-84.74
81201,Salida,CO,Chaffee County,America/Denver,38.53,-106
11793,Wantagh,NY,Nassau County,America/New_York,40.66,-73.51
79711,Midland,TX,Midland County,America/Chicago,32.02,-102.1
98010,Black Diamond,WA,King County,America/Los_Angeles,47.32,-121.99
94002,Belmont,CA,San Mateo County,America/Los_Angeles,37.5,-122.3
52722,Bettendorf,IA,Scott County,America/Chicago,41.56,-90.47
92704,Santa Ana,CA,Orange County,America/Los_Angeles,33.71,-117.9
60026,Glenview,IL,Cook County,America/Chicago,42.08,-87.82
53593,Verona,WI,Dane County,America/Chicago,42.98,-89.53
57701,Rapid City,SD,Pennington County,America/Denver,44.07,-103.23
27603,Raleigh,NC,Wake County,America/New_York,35.82,-78.65
27602,Raleigh,NC,Wake County,America/New_York,35.82,-78.65
19129,Philadelphia,PA,Philadelphia County,America/New_York,39.95,-75.16
34787,Winter Garden,FL,Orange County,America/New_York,28.56,-81.58
14217,Buffalo,NY,Erie County,America/New_York,42.88,-78.85
60630,Chicago,IL,Cook County,America/Chicago,41.83,-87.68
20010,Washington,DC,District of Columbia,America/New_York,38.89,-77.03
33331,Fort Lauderdale,FL,Broward County,America/New_York,26.14,-80.13
33467,Lake Worth,FL,Palm Beach County,America/New_York,26.61,-80.05
11106,Astoria,NY,Queens County,America/New_York,40.78,-73.91
11709,Bayville,NY,Nassau County,America/New_York,40.9,-73.56
89027,Mesquite,NV,Clark County,America/Los_Angeles,36.78,-114.14
11590,Westbury,NY,Nassau County,America/New_York,40.75,-73.58
63303,Saint Charles,MO,St Charles County,America/Chicago,38.79,-90.51
11772,Patchogue,NY,Suffolk County,America/New_York,40.76,-73.01
27284,Kernersville,NC,Forsyth County,America/New_York,36.11,-80.07
90806,Long Beach,CA,Los Angeles County,America/Los_Angeles,33.81,-118.18
15238,Pittsburgh,PA,Allegheny County,America/New_York,40.43,-79.97
75069,Mckinney,TX,Collin County,America/Chicago,33.2,-96.65
55125,Saint Paul,MN,Washington County,America/Chicago,44.94,-93.1
14211,Buffalo,NY,Erie County,America/New_York,42.88,-78.85
92075,Solana Beach,CA,San Diego County,America/Los_Angeles,32.99,-117.25
78664,Round Rock,TX,Williamson County,America/Chicago,30.51,-97.67
94949,Novato,CA,Marin County,America/Los_Angeles,38.06,-122.54
94133,San Francisco,CA,San Francisco County,America/Los_Angeles,37.8,-122.41
17111,Harrisburg,PA,Dauphin County,America/New_York,40.27,-76.88
78681,Round Rock,TX,Williamson County,America/Chicago,30.51,-97.67
95403,Santa Rosa,CA,Sonoma County,America/Los_Angeles,38.5,-122.76
78702,Austin,TX,Travis County,America/Chicago,30.26,-97.74
17701,Williamsport,PA,Lycoming County,America/New_York,41.23,-77.03
49418,Grandville,MI,Kent County,America/Detroit,42.9,-85.75
22079,Lorton,VA,Fairfax County,America/New_York,38.7,-77.24
10709,Eastchester,NY,Westchester County,America/New_York,40.95,-73.8
11021,Great Neck,NY,Nassau County,America/New_York,40.8,-73.73
11950,Mastic,NY,Suffolk County,America/New_York,40.8,-72.84
95746,Granite Bay,CA,Placer County,America/Los_Angeles,38.76,-121.16
23462,Virginia Beach,VA,Virginia Beach City,America/New_York,36.73,-76.04
90016,Los Angeles,CA,Los Angeles County,America/Los_Angeles,34.02,-118.35
78218,San Antonio,TX,Bexar County,America/Chicago,29.45,-98.5
49525,Grand Rapids,MI,Kent County,America/Detroit,42.96,-85.65
60646,Chicago,IL,Cook County,America/Chicago,41.83,-87.68
80226,Denver,CO,Jefferson County,America/Denver,39.76,-104.87
10528,Harrison,NY,Westchester County,America/New_York,41.02,-73.72
44319,Akron,OH,Summit County,America/New_York,41.08,-81.52
74145,Tulsa,OK,Tulsa County,America/Chicago,36.12,-95.91
80011,Aurora,CO,Adams County,America/Denver,39.69,-104.81
85051,Phoenix,AZ,Maricopa County,America/Phoenix,33.55,-112.13
91731,El Monte,CA,Los Angeles County,America/Los_Angeles,34.08,-118.03
81631,Eagle,CO,Eagle County,America/Denver,39.65,-106.82
74701,Durant,OK,Bryan County,America/Chicago,33.98,-96.39
44212,Brunswick,OH,Medina County,America/New_York,41.24,-81.82
90260,Lawndale,CA,Los Angeles County,America/Los_Angeles,33.88,-118.35
84088,West Jordan,UT,Salt Lake County,America/Denver,40.58,-111.98
95054,Santa Clara,CA,Santa Clara County,America/Los_Angeles,37.39,-121.96
98037,Lynnwood,WA,Snohomish County,America/Los_Angeles,47.85,-122.28
53218,Milwaukee,WI,Milwaukee County,America/Chicago,43.06,-87.96
44145,Westlake,OH,Cuyahoga County,America/New_York,41.45,-81.92
33021,Hollywood,FL,Broward County,America/New_York,26.02,-80.16
67226,Wichita,KS,Sedgwick County,America/Chicago,37.68,-97.34
84121,Salt Lake City,UT,Salt Lake County,America/Denver,40.62,-111.71
78734,Austin,TX,Travis County,America/Chicago,30.26,-97.74
74120,Tulsa,OK,Tulsa County,America/Chicago,36.12,-95.91
85210,Mesa,AZ,Maricopa County,America/Phoenix,33.38,-111.84
48301,Bloomfield Hills,MI,Oakland County,America/Detroit,42.57,-83.24
32208,Jacksonville,FL,Duval County,America/New_York,30.33,-81.65
33172,Miami,FL,Miami-Dade County,America/New_York,25.79,-80.36
78758,Austin,TX,Travis County,America/Chicago,30.26,-97.74
29842,Beech Island,SC,Aiken County,America/New_York,33.48,-81.89
91754,Monterey Park,CA,Los Angeles County,America/Los_Angeles,34.05,-118.14
59715,Bozeman,MT,Gallatin County,America/Denver,45.77,-110.93
98683,Vancouver,WA,Clark County,America/Los_Angeles,45.6,-122.51
78613,Cedar Park,TX,Williamson County,America/Chicago,30.51,-97.83
16057,Slippery Rock,PA,Butler County,America/New_York,41.07,-80.06
85224,Chandler,AZ,Maricopa County,America/Phoenix,33.32,-111.87
23455,Virginia Beach,VA,Virginia Beach City,America/New_York,36.73,-76.04
98668,Vancouver,WA,Clark County,America/Los_Angeles,45.71,-122.62
90266,Manhattan Beach,CA,Los Angeles County,America/Los_Angeles,33.88,-118.4
30188,Woodstock,GA,Cherokee County,America/New_York,34.1,-84.51
67401,Salina,KS,Saline County,America/Chicago,38.81,-97.61
91016,Monrovia,CA,Los Angeles County,America/Los_Angeles,34.15,-117.99
75135,Caddo Mills,TX,Hunt County,America/Chicago,33.06,-96.22
55346,Eden Prairie,MN,Hennepin County,America/Chicago,44.84,-93.45
56387,Waite Park,MN,Stearns County,America/Chicago,45.55,-94.22
75082,Richardson,TX,Collin County,America/Chicago,32.97,-96.7
92868,Orange,CA,Orange County,America/Los_Angeles,33.78,-117.86
78731,Austin,TX,Travis County,America/Chicago,30.26,-97.74
70501,Lafayette,LA,Lafayette Parish,America/Chicago,30.21,-92.02
78757,Austin,TX,Travis County,America/Chicago,30.26,-97.74
43212,Columbus,OH,Franklin County,America/New_York,39.98,-82.98
38103,Memphis,TN,Shelby County,America/Chicago,35.1,-90
11901,Riverhead,NY,Suffolk County,America/New_York,40.94,-72.67
11704,West Babylon,NY,Suffolk County,America/New_York,40.71,-73.35
20170,Herndon,VA,Fairfax County,America/New_York,38.96,-77.38
44087,Twinsburg,OH,Summit County,America/New_York,41.32,-81.45
15084,Tarentum,PA,Allegheny County,America/New_York,40.6,-79.76
15722,Carrolltown,PA,Cambria County,America/New_York,40.6,-78.7
77375,Tomball,TX,Harris County,America/Chicago,30.09,-95.61
66105,Kansas City,KS,Wyandotte County,America/Chicago,39.1,-94.62
73107,Oklahoma City,OK,Oklahoma County,America/Chicago,35.46,-97.51
33133,Miami,FL,Miami-Dade County,America/New_York,25.77,-80.2
42501,Somerset,KY,Pulaski County,America/Kentucky/Louisville,37.08,-84.6
75237,Dallas,TX,Dallas County,America/Chicago,32.79,-96.76
14075,Hamburg,NY,Erie County,America/New_York,42.72,-78.83
10033,New York,NY,New York County,America/New_York,40.71,-73.99
48108,Ann Arbor,MI,Washtenaw County,America/Detroit,42.27,-83.73
30127,Powder Springs,GA,Cobb County,America/New_York,33.86,-84.68
32712,Apopka,FL,Orange County,America/New_York,28.68,-81.51
78228,San Antonio,TX,Bexar County,America/Chicago,29.45,-98.5
33122,Miami,FL,Miami-Dade County,America/New_York,25.79,-80.3
95678,Roseville,CA,Placer County,America/Los_Angeles,38.76,-121.28
14892,Waverly,NY,Tioga County,America/New_York,42.01,-76.52
23221,Richmond,VA,Richmond City,America/New_York,37.55,-77.46
11372,Jackson Heights,NY,Queens County,America/New_York,40.75,-73.88
90026,Los Angeles,CA,Los Angeles County,America/Los_Angeles,34.07,-118.26
19073,Newtown Square,PA,Delaware County,America/New_York,39.97,-75.43
32117,Daytona Beach,FL,Volusia County,America/New_York,29.19,-81.05
58701,Minot,ND,Ward County,America/Chicago,48.23,-101.29
58201,Grand Forks,ND,Grand Forks County,America/Chicago,47.91,-97.07
15668,Murrysville,PA,Westmoreland County,America/New_York,40.46,-79.67
10027,New York,NY,New York County,America/New_York,40.71,-73.99
58103,Fargo,ND,Cass County,America/Chicago,46.87,-96.81
10475,Bronx,NY,Bronx County,America/New_York,40.84,-73.87
10032,New York,NY,New York County,America/New_York,40.71,-73.99
75205,Dallas,TX,Dallas County,America/Chicago,32.79,-96.76
95204,Stockton,CA,San Joaquin County,America/Los_Angeles,37.97,-121.32
20011,Washington,DC,District of Columbia,America/New_York,38.89,-77.03
77018,Houston,TX,Harris County,America/Chicago,29.76,-95.38
44308,Akron,OH,Summit County,America/New_York,41.08,-81.52
76049,Granbury,TX,Hood County,America/Chicago,32.44,-97.78
10464,Bronx,NY,Bronx County,America/New_York,40.84,-73.87
43202,Columbus,OH,Franklin County,America/New_York,39.98,-82.98
77065,Houston,TX,Harris County,America/Chicago,29.76,-95.38
77029,Houston,TX,Harris County,America/Chicago,29.76,-95.38
38134,Memphis,TN,Shelby County,America/Chicago,35.1,-90
28036,Davidson,NC,Mecklenburg County,America/New_York,35.49,-80.84
46540,Middlebury,IN,Elkhart County,America/Indiana/Indianapolis,41.67,-85.7
28801,Asheville,NC,Buncombe County,America/New_York,35.57,-82.54
17820,Catawissa,PA,Columbia County,America/New_York,40.95,-76.46
24266,Lebanon,VA,Russell County,America/New_York,36.89,-82.07
75243,Dallas,TX,Dallas County,America/Chicago,32.79,-96.76
76629,Bremond,TX,Robertson County,America/Chicago,31.16,-96.67
40220,Louisville,KY,Jefferson County,America/Kentucky/Louisville,38.22,-85.74
81626,Craig,CO,Moffat County,America/Denver,40.52,-107.55
95626,Elverta,CA,Sacramento County,America/Los_Angeles,38.73,-121.46
44106,Cleveland,OH,Cuyahoga County,America/New_York,41.47,-81.67
76052,Haslet,TX,Tarrant County,America/Chicago,32.95,-97.33
33881,Winter Haven,FL,Polk County,America/New_York,28.04,-81.72
18974,Warminster,PA,Bucks County,America/New_York,40.21,-75.07
13309,Boonville,NY,Oneida County,America/New_York,43.48,-75.33
29650,Greer,SC,Greenville County,America/New_York,34.93,-82.23
84059,Orem,UT,Utah County,America/Denver,40.31,-111.72
46802,Fort Wayne,IN,Allen County,America/Indiana/Indianapolis,41.07,-85.13
32701,Altamonte Springs,FL,Seminole County,America/New_York,28.66,-81.39
33324,Fort Lauderdale,FL,Broward County,America/New_York,26.14,-80.13
19123,Philadelphia,PA,Philadelphia County,America/New_York,39.95,-75.16
84037,Kaysville,UT,Davis County,America/Denver,41.02,-111.92
58554,Mandan,ND,Morton County,,46.82,-100.88
76905,San Angelo,TX,Tom Green County,America/Chicago,31.44,-100.45
20850,Rockville,MD,Montgomery County,America/New_York,39.08,-77.15
76706,Waco,TX,McLennan County,America/Chicago,31.56,-97.18
60181,Villa Park,IL,Dupage County,America/Chicago,41.88,-87.97
27893,Wilson,NC,Wilson County,America/New_York,35.73,-77.92
43026,Hilliard,OH,Franklin County,America/New_York,40.03,-83.14
60478,Country Club Hills,IL,Cook County,America/Chicago,41.56,-87.72
98665,Vancouver,WA,Clark County,America/Los_Angeles,45.67,-122.66
90814,Long Beach,CA,Los Angeles County,America/Los_Angeles,33.77,-118.14
33487,Boca Raton,FL,Palm Beach County,America/New_York,26.37,-80.1
60515,Downers Grove,IL,Dupage County,America/Chicago,41.79,-88.01
97062,Tualatin,OR,Washington County,America/Los_Angeles,45.36,-122.75
48393,Wixom,MI,Oakland County,America/Detroit,42.52,-83.53
53202,Milwaukee,WI,Milwaukee County,America/Chicago,43.06,-87.96
10452,Bronx,NY,Bronx County,America/New_York,40.84,-73.87
75238,Dallas,TX,Dallas County,America/Chicago,32.79,-96.76
60641,Chicago,IL,Cook County,America/Chicago,41.83,-87.68
22601,Winchester,VA,Winchester City,America/New_York,39.17,-78.17
45217,Cincinnati,OH,Hamilton County,America/New_York,39.09,-84.51
47303,Muncie,IN,Delaware County,America/Indiana/Indianapolis,40.19,-85.39
26101,Parkersburg,WV,Wood County,America/New_York,39.26,-81.54
81302,Durango,CO,La Plata County,America/Denver,37.27,-107.88
85042,Phoenix,AZ,Maricopa County,America/Phoenix,33.37,-112.03
98092,Auburn,WA,King County,America/Los_Angeles,47.28,-122.1
40517,Lexington,KY,Fayette County,America/Kentucky/Louisville,38.04,-84.45
92115,San Diego,CA,San Diego County,America/Los_Angeles,32.75,-117.07
94611,Oakland,CA,Alameda County,America/Los_Angeles,37.83,-122.22
87113,Albuquerque,NM,Bernalillo County,America/Denver,35.11,-106.62
60106,Bensenville,IL,Dupage County,America/Chicago,41.95,-87.94
29607,Greenville,SC,Greenville County,America/New_York,34.83,-82.37
60016,Des Plaines,IL,Cook County,America/Chicago,42.03,-87.9
47948,Goodland,IN,Newton County,,40.76,-87.29
77067,Houston,TX,Harris County,America/Chicago,29.76,-95.38
75142,Kaufman,TX,Kaufman County,America/Chicago,32.58,-96.3
55369,Osseo,MN,Hennepin County,America/Chicago,45.11,-93.39
84117,Salt Lake City,UT,Salt Lake County,America/Denver,40.65,-111.83
97132,Newberg,OR,Yamhill County,America/Los_Angeles,45.32,-122.98
48326,Auburn Hills,MI,Oakland County,America/Detroit,42.67,-83.24
27587,Wake Forest,NC,Wake County,America/New_York,35.97,-78.52
94710,Berkeley,CA,Alameda County,America/Los_Angeles,37.87,-122.3
57107,Sioux Falls,SD,Minnehaha County,America/Chicago,43.54,-96.73
33556,Odessa,FL,Hillsborough County,,28.2,-82.59
76821,Ballinger,TX,Runnels County,America/Chicago,31.74,-99.95
47403,Bloomington,IN,Monroe County,America/Indiana/Indianapolis,39.16,-86.52
22936,Earlysville,VA,Albemarle County,America/New_York,38.15,-78.48
59718,Bozeman,MT,Gallatin County,America/Denver,45.65,-111.17
64506,Saint Joseph,MO,Buchanan County,America/Chicago,39.76,-94.85
45069,West Chester,OH,Butler County,America/New_York,39.33,-84.4
31904,Columbus,GA,Muscogee County,America/New_York,32.51,-84.87
90249,Gardena,CA,Los Angeles County,America/Los_Angeles,33.89,-118.31
92821,Brea,CA,Orange County,America/Los_Angeles,33.92,-117.86
30339,Atlanta,GA,Cobb County,America/New_York,33.86,-84.47
49424,Holland,MI,Ottawa County,America/Detroit,42.77,-86.1
90017,Los Angeles,CA,Los Angeles County,America/Los_Angeles,34.05,-118.26
53022,Germantown,WI,Washington County,America/Chicago,43.23,-88.12
33009,Hallandale,FL,Broward County,America/New_York,25.98,-80.14
78045,Laredo,TX,Webb County,America/Chicago,27.53,-99.48
39565,Vancleave,MS,Jackson County,America/Chicago,30.4,-88.8
77571,La Porte,TX,Harris County,America/Chicago,29.66,-95.04
79714,Andrews,TX,Andrews County,America/Chicago,32.32,-102.54
72764,Springdale,AR,Washington County,America/Chicago,36.18,-94.14
72404,Jonesboro,AR,Craighead County,America/Chicago,35.82,-90.68
49014,Battle Creek,MI,Calhoun County,America/Detroit,42.29,-85.22
28052,Gastonia,NC,Gaston County,America/New_York,35.25,-81.17
98004,Bellevue,WA,King County,America/Los_Angeles,47.61,-122.21
32910,Palm Bay,FL,Brevard County,America/New_York,27.98,-80.66
78642,Liberty Hill,TX,Williamson County,America/Chicago,30.66,-97.92
71106,Shreveport,LA,Caddo Parish,America/Chicago,32.47,-93.79
33928,Estero,FL,Lee County,America/New_York,26.44,-81.81
44092,Wickliffe,OH,Lake County,America/New_York,41.6,-81.46
14621,Rochester,NY,Monroe County,America/New_York,43.16,-77.61
48026,Fraser,MI,Macomb County,America/Detroit,42.53,-82.94
20187,Warrenton,VA,Fauquier County,America/New_York,38.71,-77.79
92675,San Juan Capistrano,CA,Orange County,America/Los_Angeles,33.52,-117.61
80918,Colorado Springs,CO,El Paso County,America/Denver,38.86,-104.76
33136,Miami,FL,Miami-Dade County,America/New_York,25.77,-80.2
48116,Brighton,MI,Livingston County,America/Detroit,42.53,-83.78
78570,Mercedes,TX,Hidalgo County,America/Chicago,26.14,-97.92
55404,Minneapolis,MN,Hennepin County,America/Chicago,44.96,-93.26
93230,Hanford,CA,Kings County,America/Los_Angeles,36.27,-119.63
93030,Oxnard,CA,Ventura County,America/Los_Angeles,34.19,-119.17
77378,Willis,TX,Montgomery County,America/Chicago,30.42,-95.47
97458,Myrtle Point,OR,Coos County,America/Los_Angeles,43.06,-124.03
37402,Chattanooga,TN,Hamilton County,America/New_York,35.06,-85.25
76262,Roanoke,TX,Denton County,,33,-97.23
85004,Phoenix,AZ,Maricopa County,America/Phoenix,33.44,-112.07
63366,O Fallon,MO,St Charles County,America/Chicago,38.78,-90.7
76033,Cleburne,TX,Johnson County,America/Chicago,32.34,-97.4
